,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
268,Pt/Sn-ZSM-5,Alloy,"Pt, Sn",Pt,Zeolites,{'Propane Conversion': '70%'},,"1.5 mL/min C3H8, 5 mL/min N2",873.15,6.5,5.2 h-1,PDH,"C3H8, N2",False,"{'Stability': 'Preparation Method', 'Conversion': 'Structural Composition'}",99.0,Nanoparticulate Alloys,In Situ Synthesis,Sn,24 h,1.0,,,,,,,,,10.1002/anie.202007044,2020.0,
269,Pd3Sn,Alloy,"Pd, Sn",Pd,,{'Single-pass': '100%'},,C2H2:H2 = 1:100,373.0,,,PDH,"C2H2, H2",False,{'Conversion': 'High-coverage model'},97.0,Intermetallic Compounds,,,,,,,,,,,,,10.1021/acs.jpcc.7b11394,2018.0,
270,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '18.6%'},,,823.15,30.0,11.8 h-1,PDH,"N2, H2, C3H8",False,"{'Conversion': 'Reduction temperature', 'Selectivity': 'Reduction temperature'}",99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.cattod.2022.11.018,2023.0,18.6
271,CrZrOx/SiO2,Metal Oxide,"Cr, Zr",Zr,Silica Oxide,{'propane conversion': '10-24%'},,C3H8:N2 = 2:3,823.15,40.0,3.45-8.08 h-1,PDH,"C3H8, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,,,,10 cycles,10.0,,,0.47-1.2 mmol g-1 min-1,,,,,,10.1016/j.apcata.2019.117350,2020.0,24.0
272,Vanadium oxide catalyst,Metal Oxide,"V, O",V,Aluminum Oxide,{'Propane conversion': 'Not specified'},Deactivation rate depends on temperature and propane/propylene concentration,Propane:Oxygen ratio varied,773.15,,100-400 kg/s/m3,ODH,"Propane, Oxygen, Nitrogen",True,{'Stability': 'Periodic regeneration'},,,,,Not specified,,,,Not specified,,,,,,10.3390/catal10121374,2020.0,
273,2Zn5.6ZrTi,Metal Oxide,"Zn, Zr, Ti",Zn,Others,{'Propane conversion': '23%'},,C3H8:H2:N2 = 2:1:2,823.15,,1.57 h-1,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95.0,,,Zr,3 h,3.0,,95.0,0.4 mmol g-1 min-1,,,,,,10.1039/d0cy01416h,2020.0,23.0
274,Pt/Sn-CeO2,Metal Oxide,"Pt, Sn, Ce, O",Pt,Others,{'Propane conversion': '15.1%'},,Propane:CO2 - 2.4:4.8 mL/min,823.15,17.2,,ODH,"Propane, CO2, N2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",63.9,,,Sn,,,,,,,,,,,10.1002/cctc.202200982,2022.0,15.1
275,Nonframework gallium species in zeolite,Metal,Ga,Ga,Zeolites,,,,,,,PDH,Propane,False,"{'Mechanism': 'Structural composition', 'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/jp055104g,2006.0,
276,MgO-promoted ZnO/silicalite-1,Metal Oxide,"Zn, Mg",Zn,Silica Oxide,{'propane conversion': '26.1%'},0.0076 h-1,C3H8/N2 = 2:3,823.15,10.0,2.36 h-1,PDH,"C3H8, N2",False,"{'Stability': 'MgO promoter', 'Selectivity': 'MgO promoter'}",95.0,,,Mg,20 PDH/regeneration cycles,38.0,,24.0,,,,,,,10.1021/acscatal.1c05778,2022.0,26.1
277,Sn1Pt single-atom alloy,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '43%'},"0.11 h-1 (0-3 h), 0.013 h-1 (3-40 h), 0.0026 h-1 (10-40 h)",C3H8:H2:He = 14:14:72 (vol%),873.15,30.0,,PDH,"C3H8, H2, He",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",94.0,Single-atom Alloys,Impregnation Methods,,0.0026 h-1 (10-40 h),0.0026,,,47.6 molC3H6 gPt-1 h-1,,,,,,10.1016/S1872-2067(23)64402-X,2023.0,43.0
278,Silica supported tungsten alkylidyne complex,Metal,W,W,Silica Oxide,{'Propane conversion': 'N/A'},,,423.15,,,PDH,Propane,False,{'Conversion': 'Catalyst preparation method'},,,,,,,,,,,,,,,10.1039/c5cc05276a,2015.0,
279,Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K, Al, O","Pt, Sn",Aluminum Oxide,{'Propane conversion': '67%'},,C3H8:He = 1:4,773.15,,,ODH,"C3H8, He, O2",True,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design', 'Yield': 'Reactor design'}",98.0,Nanoparticulate Alloys,Impregnation Methods,K,,,,95.0,,,,,,,10.1016/j.cej.2011.06.048,2011.0,67.0
280,CrOx/Fe-CeO2,Metal Oxide,"Cr, Fe, Ce, O",Cr,Others,{'Propane Conversion': '10%'},,CO2/C3H8,823.15,100.0,100 mg,ODH,"Propane, Carbon Dioxide",True,"{'Selectivity': 'Active Species', 'Conversion': 'Active Species'}",90.0,,,Fe,,,,9.0,,,,,,,10.1039/d2cy01563c,2023.0,
281,10%Zn/250HZSM-5,Metal Oxide,Zn,Zn,Zeolites,{'Propane conversion': '72.94%'},41.72% (10 h),5 vol% propane in N2,873.15,20.0,200 mg,PDH,"Propane, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",92.5,,,,10 h,1.0,,52.09,,,,,,,10.1016/j.mcat.2019.110508,2019.0,72.94
282,PtSn/γ-Al2O3 promoted by In,Alloy,"Pt, Sn, In, Al, O",Pt,Aluminum Oxide,{'propane conversion': '58.41%'},8.9% (53 h),H2:C3H8:Ar = 7:8:35 (molar ratio),883.15,,1500 h-1,PDH,"H2, C3H8, Ar",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",96.0,Nanoparticulate Alloys,Impregnation Methods,"Sn, In",53 h,53.0,,41.0,,,,,,,10.1016/j.cej.2014.02.084,2014.0,58.41
283,5Ga2O3/SBA-15,Metal Oxide,"Ga, O",Ga,Others,"{'Propane conversion': '28.5% (initial), 22.1% (final)'}",11% (30h),,893.15,,0.2 g,PDH,"C3H8, Ar",False,{'Stability': 'Support Material'},92.5,,,,30 h,1.25,,,,,,,,,10.1039/c6ra27204e,2017.0,28.5
284,Alumina-supported iron phosphide,Metal,"Fe, P",Fe,Aluminum Oxide,{'Propane conversion': '14%'},,5% C3H8 in N2,873.15,10.0,,PDH,"C3H8, N2",False,"{'Conversion': 'Increasing Fe:P ratio', 'Selectivity': 'Increasing Fe:P ratio', 'Stability': 'Addition of phosphate'}",82.4,,,P,,19.0,,,,,,,,,10.1021/acscatal.6b01286,2016.0,14.0
285,Platinum supported on silicon nitride,Metal,Pt,,Others,{'Propane conversion': '10-50%'},,Propane:Hydrogen:Nitrogen,823.15,240.0,,PDH,"Propane, Hydrogen, Nitrogen",False,"{'Conversion': 'Support composition', 'Selectivity': 'Support composition', 'Stability': 'Support material'}",90.0,,,,24 h,1.0,,,,,,,,,10.1016/S0926-860X(01)00871-7,2002.0,50.0
286,"Cr/SBA-15, Cr/Al2O3",Metal Oxide,Cr,Cr,Aluminum Oxide,{'Propane conversion': '5-15%'},,,823853.0,,11.78 h-1,PDH,"Propane, Helium",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90.0,,,,120 min,2.0,,,,,,,,,10.1016/j.jcat.2008.11.014,2009.0,15.0
287,Pt-Ge/SiO2,Alloy,"Pt, Ge",Pt,Silica Oxide,{'propane conversion': '24.9-32.5%'},0.32-0.5 mg/(gcat·min),,798.0,80.0,,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",97.9,Nanoparticulate Alloys,Impregnation Methods,Ge,0.32-0.5 mg/(gcat·min),30.0,5.8,,,,,,,,10.1016/j.apcata.2022.118751,2022.0,32.5
288,Ca7Bi5Mo12Ox and Mg7Bi5Mo12Ox,Metal Oxide,"Ca, Mg, Bi, Mo","Bi, Mo",,{'Acrolein yield': '3.2% for Ca7Bi5Mo12Ox\n\t\t\t\t\t2.7% for Mg7Bi5Mo12Ox'},,,,,,ODH,"Propane, Oxygen",True,{'Selectivity': 'Catalyst composition'},34.0,,,"Ca, Mg",,,,3.2,,,,,,,10.1016/S0920-5861(96)00113-7,1997.0,
289,MnWO4 nanorods,Metal Oxide,"Mn, W, O",Mn,,{'Propane conversion': '10-35%'},,C3H8:O2:N2 = 10:5:85,673.15,,1.8-0.9 g s mL-1,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",90.0,,,,108 h,108.0,,,,,,,,,10.1002/anie.201510201,2016.0,35.0
290,V-Zr-O,Metal Oxide,"V, Zr, O",V,Others,{'Propane conversion': '2.1-5.3%'},,"20% Propane, 10% Oxygen, Balance Argon",613.15,18.1,,ODH,"Propane, Oxygen, Argon",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",68.3,,,,,,,3.1,,,,,,,10.1016/j.cattod.2021.06.012,2022.0,5.3
291,Pt-Sn/SiO2,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '41%'},0.003,C3H8,853.0,,4.7 h-1,PDH,C3H8,False,"{'Stability': 'Structural Composition', 'Selectivity': 'Promoter'}",99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,30 hours,,,,,,,,,,10.1021/acscatal.3c00103,2023.0,41.0
292,Pt/ND@G,Metal,Pt,Pt,Carbon-based,{'Propane conversion': '34%'},,"5% propane, 95% N2",873.15,60.0,0.2 g,PDH,"Propane, Nitrogen",False,"{'Stability': 'Structural composition', 'Activity': 'Structural composition', 'Selectivity': 'Structural composition'}",88.0,,,,100 h,100.0,,88.0,1333 mmol g-1 h-1,,,,,,10.1021/acscatal.6b03452,2017.0,34.0
293,KOH-treated polyaniline derived carbon (PAC-K2),Others,C,O,,{'Initial propane conversion': '31%'},0.1 h-1,C3H8:Ar:He = 10:4.5:85.5,873.0,,6000 cm3 h-1 g-1,PDH,"Propane, Argon, Helium",False,{'Stability': 'Structural composition'},100.0,,,,0.1 h-1,0.1,,31.0,,,,,,,10.1002/cctc.202100208,2021.0,31.0
294,V-Sb-O/SiO2,Metal Oxide,"V, Sb, O",V,Silica Oxide,{'propane conversion': '40.1%'},,C3H8:O2:N2 = 1:1:8,873.15,,0.1 g,ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",65.6,,,,,,,26.3,,,,,,,10.1016/j.catcom.2013.11.014,2014.0,40.1
295,NiOx/ZrO2,Metal Oxide,"Ni, Zr",Ni,Oxides,{'propane conversion': '10%'},0.33 h-1,"40% C3H8, 60% N2, 1000 ppm O2",823.15,20.0,0.1 g,PDH,"C3H8, N2, O2",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,,,,20 min,1.0,,95.0,0.15 mmol/g/min,,,,,,10.1016/j.apcata.2023.119246,2023.0,10.0
296,Boron carbide,Others,"B, C",B,,{'N/A': 'N/A'},,,,,,ODH,"Propane, Oxygen",True,{'Reactivity': 'B content and surface oxidation'},,,,,,,,,,,,,,,10.1021/acs.jpcc.2c08586,2023.0,
297,Cr-MCM-41,Metal Oxide,Cr,Cr,Silica Oxide,{'propane conversion': '30%'},17.0% to 3.0% in 5h,N2/CO2/C3H8 = 10/34/6,823.15,,400 mg,ODH,"N2, CO2, C3H8",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90.0,,,,5 h,0.2,,,,,,,,,10.1016/j.jcat.2004.03.014,2004.0,30.0
298,GaPt/SiO2 SCALMS,Alloy,"Ga, Pt",Pt,Silica Oxide,{'Propane conversion': '13-22%'},"41-45% within 200 min, 49-59% after 900 min",12% C3H8/He,773.15,25.0,4500 mL/gcat-h,PDH,"Propane (C3H8), Helium (He)",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",100.0,Nanoparticulate Alloys,Impregnation Methods,,900 min,0.0011,,,,,,,,,10.1039/d0fd00010h,2021.0,22.0
299,SiO2-supported VOx species,Metal Oxide,"V, O","V, O",Silica Oxide,{'Propane conversion': '45%'},10% over 20 h,C3H8/O2 > 10,823843.0,,0.3-18 g s ml-1,ODH,"C3H8, O2",True,"{'Selectivity': 'Process Conditions', 'Stability': 'Support Material'}",80.0,,,,20 h,0.05,,40.0,,,,,,,10.1016/j.cattod.2012.01.034,2012.0,45.0
300,Molybdenum coated ceramic and carbon membranes,Metal,Mo,Mo,Carbon-based,{'propane conversion': '28%'},,"80% propane, 20% hydrogen",,,,PDH,"propane, hydrogen",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",,,,,,,,,,,,,,,10.1016/j.memsci.2004.11.037,2005.0,28.0
301,Oxidized multi-walled carbon nanotubes (MWCNTs),Others,C,"C, O",,{'Propane conversion': '11.0%'},,5 vol% propane balanced with nitrogen,873.15,100.0,6000 mL h-1 gcat-1,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Surface oxygen functional groups', 'Stability': 'Removal of carboxylic acid groups'}",86.8,,,,6 h,1.0,,,,,,,,,10.1016/j.apcata.2018.04.017,2018.0,11.0
302,Zn0.3Cr oxide,Metal Oxide,"Zn, Cr",Cr,,{'Propane conversion': '31.3%'},,5% C3H8 / 95% Ar,753.15,25.0,"0.3 g catalyst, 5000 ml/(h·g)",PDH,"Propane, Argon",False,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",94.0,,,Zn,300 min,0.005,,,,,,,,,10.1039/c9cy01921a,2020.0,31.3
303,Nanosized anatase TiO2,Metal Oxide,"Ti, O",Ti,,{'Propane conversion': '67%'},,C3H8:Ar = 1:39,873.15,,0.25-3 g,PDH,"C3H8, Ar",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",94.0,,,,,,,45.0,,,,,,,10.1021/acscatal.0c02825,2020.0,67.0
304,Fe-ZSM-5,Metal Oxide,Fe,Fe,Zeolites,{'Propane conversion': '46%'},,N2O/C3H8 â‰ˆ 1,748.0,,"15,000 mL h-1 g-1",ODH,"Propane, Nitrous Oxide",True,"{'Selectivity': 'Catalyst preparation method', 'Conversion': 'Catalyst preparation method'}",65.0,,,,960 min,0.001,,30.0,,,,,,,10.1016/j.apcata.2013.08.051,2013.0,46.0
305,V2O5 and V2O4S,Metal Oxide,"V, O","V, O",,{'Overall conversion': '~20%'},,propane/oxygen = 1/2,,,,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Structural composition', 'Stability': 'Sulfur modification'}",50.0,,,,,,,,,,,,,,10.1021/jp4024734,2013.0,20.0
306,Vanadium oxide supported on amorphous aluminium phosphate,Metal Oxide,"V, Al, P",V,Others,{},,,,,,ODH,"Propane, Oxygen",True,"{'Conversion': 'Composition, Vanadium loading'}",,,,,,,,,,,,,,,10.1016/0926-860X(94)80219-X,1994.0,
307,Cox-Siβ,Metal Oxide,Co,Co,Aluminum Oxide,{'Propane conversion': '2.8-3.7%'},-22%,"8.2% C3H8, 1.9% O2, He balance",673.15,74.1,,ODH,"C3H8, O2, He",True,"{'Conversion': 'Incorporation of Co species into dealuminated Siβ zeolite framework', 'Selectivity': 'Incorporation of Co species into dealuminated Siβ zeolite framework'}",47.0,,,,,,,,,,,,,,10.1016/j.apcata.2023.119119,2023.0,3.7
308,Pt@MCM-22,Single Atom,"Pt, Si",Pt,Zeolites,{'propane conversion': '10%'},,,823.15,,,PDH,"propane, N2",False,{'Stability': 'Preparation Method'},,,,,,,,,,,,,,,10.1038/nmat4757,2017.0,10.0
309,Single-Pd-doped Cu55 cluster,Single Atom,"Cu, Pd",Pd,Others,{},,,,,,PDH,Propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1021/jp508625b,2015.0,
310,PtSn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '40%'},,,863.15,,,PDH,"Propane, Steam",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.jcat.2010.09.018,2010.0,40.0
311,Pt-Sn/ZnAl2O4,Alloy,"Pt, Sn","Pt, Sn",Others,{'Propane conversion': '59.1%'},0.46-0.54 (Deactivation parameter),C3H8:N2 = 1:2 to 1:3.3,873.15,130.0,,PDH,"C3H8, N2",False,"{'Stability': 'Alloy composition', 'Selectivity': 'Addition of Sn', 'Conversion': 'ZnAl2O4 support'}",91.0,Nanoparticulate Alloys,Impregnation Methods,,,,,,,,,,,,10.1016/j.apcata.2011.03.057,2011.0,59.1
312,In2O3-Ga2O3 mixed oxides,Metal Oxide,"In, Ga","In, Ga",,{'Propane conversion': '7.9%'},No data provided,5 vol% C3H8 balanced with N2,873.15,20.0,No data provided,PDH,"C3H8, N2",False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst composition'}",33.7,,,,No data provided,,,,No data provided,,,,,,10.1016/j.apcata.2015.03.020,2015.0,7.9
313,Ni/TiO2,Metal Oxide,Ni,Ni,Others,{'CO2 conversion': '95-97%'},,,498.15,,1500-7500 mL gcat-1 h-1,PDH,"CO2, H2",False,"{'Conversion': 'Structural composition', 'Stability': 'Structural composition', 'Energy efficiency': 'Structural composition'}",99.0,,,,45 h,45.0,,,,,,,,,10.1002/cssc.202201724,2023.0,97.0
314,PtSn/15MAF,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '24.7%'},4.5% (after 7 h),H2/C3 molar ratio of 0.25,863.15,,3.0 h-1,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.5,Nanoparticulate Alloys,Impregnation Methods,,112 h,112.0,,92.5,,,,,,,10.1039/c7nj02523h,2018.0,24.7
315,2Pt-2.4Sn/Al,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '42.8%'},2.6% after 8h,,813.15,,"15,000 mL/(gcat h)",PDH,"Propane, Hydrogen, Nitrogen",False,"{'Conversion': 'Sn addition', 'Selectivity': 'Sn addition', 'Stability': 'Regeneration method'}",98.3,Nanoparticulate Alloys,Impregnation Methods,,23.5% deactivation after 11 cycles,0.02135,100.0,,,,,,,,10.1016/j.jechem.2017.09.035,2018.0,42.8
316,Fe-C2N,Single Atom,Fe,Fe,Others,{'Activation barrier': '1.23 eV'},,,,,,PDH,Propane,False,"{'Conversion': 'Catalyst composition', 'Catalytic Activity': 'Single Atom Catalyst'}",,,,,,,,,,,,,,,10.1016/j.mcat.2022.112501,2022.0,
317,5% Cr/MCM-41,Metal Oxide,Cr,Cr,Others,{'propane conversion': '21%'},,C3H8:CO2 = 1:2,923.15,30.0,1 g,ODH,"C3H8, CO2",True,"{'Selectivity': 'Support Material', 'Stability': 'Support Material'}",85.0,,,,10 h,0.1,,,,,,,,,10.3390/catal13050906,2023.0,21.0
318,Boron nitride (BN),Metal,"B, N","B, N",,{'N/A': 'N/A'},,,763.0,,,ODH,"Propane, Oxygen",True,{'Activity': 'Edge sites'},,,,,,,,,,,,,,,10.1021/acs.jpcc.8b10480,2019.0,
319,PtGa/HZSM-5,Alloy,"Pt, Ga",Pt,Zeolites,{'propane conversion': '92%'},0.0038 h^-1,C3H8/O2/N2=5/20/75,773.15,,"30,000 mL/g/h",ODH,"C3H8, O2, N2",True,"{'Conversion': 'Ga Promoter', 'Stability': 'Nanoparticulate Alloy Structure'}",92.0,Nanoparticulate Alloys,Impregnation Methods,Ga,92% after 50 h,0.0038,,73.0,14.6 μmol/g cat/s,,,,,,10.1039/c3cc40731d,2013.0,92.0
320,Subnanometer PtSn clusters,Alloy,"Pt, Sn",Pt,Zeolites,{'Propane conversion': 'N/A'},Fast deactivation rate,,,,,PDH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",,Others,Impregnation Methods,,,,,,,,,,,,10.1021/acscatal.3c00548,2023.0,
321,0.3Pt0.5Zn@S-1,Alloy,"Pt, Zn","Pt, Zn",Silica Oxide,{'Propane conversion': '45.3%'},0.002 (h-1),C3H8:N2 = 11:19,823.15,30.0,WHSV = 6.5 (h-1),PDH,"C3H8, N2",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst composition', 'Stability': 'Confinement in zeolite support'}",99.0,Others,In Situ Synthesis,,Stable for 60 h,0.002,,45.0,28.2 (mol g-1Pt h-1),,,,,,10.1016/j.jcat.2020.02.019,2020.0,45.3
322,2.0Cr/SiO2-DHS,Metal Oxide,"Cr, Si",Cr,Silica Oxide,{'propane conversion': '70-80%'},2-3% coke formation,"15% C3H8, 30% CO2, 55% N2, 15% C3H8, 3% O2, 82% N2, 15% C3H8, 30% CO2, 3% O2, 52% N2",873.15,8.0,,ODH,"C3H8, CO2, O2, N2",True,"{'Selectivity': 'Feed gas composition', 'Conversion': 'Catalyst composition'}",47.0,,,,,,,47.0,,,,,,,10.1039/c7cy00142h,2017.0,80.0
323,Pt/γ-Al2O3 monolithic catalyst,Metal,Pt,Pt,Aluminum Oxide,{},,"Propylene-nitrogen, Propylene-hydrogen",973.1500000000001,,,PDH,"Propylene, Propane, Nitrogen, Hydrogen",False,"{'Conversion': 'Reaction conditions', 'Stability': 'Reaction conditions'}",,,,,,,,,,,,,,,10.1016/S0920-5861(00)00640-4,2001.0,
324,V/MgO,Metal Oxide,"V, Mg, O",V,Oxides,{'Butane conversion': '10-40%'},,O2/C4H10,823.15,,,ODH,"Oxygen, Butane",True,"{'Selectivity': 'Reactor design', 'Conversion': 'Reactor design'}",94.0,,,,,,,,,,,,,,10.1016/j.cattod.2004.11.004,2005.0,40.0
325,Pt(A)/MgO and PtMo6/MgO,Metal Oxide,"Pt, Mo, Mg, O",Pt,Oxides,{'propane conversion': '100%'},,C3H8:O2:He = 8:2:90,673.0,100.0,,ODH,"C3H8, O2, He",True,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",100.0,,,Mo,,,,,,,,,,,10.1016/S0926-860X(99)00247-1,1999.0,100.0
326,Ga/H-ZSM5 and Zn/H-ZSM5,Metal,"Ga, Zn","Ga, Zn",Others,{'propane conversion': 'N/A'},,,700800.0,,,PDH,propane,False,"{'Conversion': 'Metal modification (Ga, Zn)', 'Stability': 'Metal cations (Ga, Zn)'}",,,,,,,,,,,,,,,10.1016/S0920-5861(96)00028-4,1996.0,
327,FeZSM-5,Metal,Fe,Fe,Zeolites,{'Propane conversion': '45-50%'},"9.2-20 wt% coke after 400 min, 0.023-0.025 wt%/min","100 mbar C3H8 : 100 mbar N2O, 1:1 C3H8:N2O",723.0,,"30,000-60,000 h^-1",ODH,"C3H8, N2O",True,"{'Conversion': 'Process conditions', 'Selectivity': 'Catalyst composition', 'Stability': 'Process conditions'}",52.0,,,,400 min,0.07,,22.0,,,,,,,10.1016/j.ces.2004.07.035,2004.0,50.0
328,CrOx/Al2O3 + ZSM-5,Metal Oxide,"Cr, Al, Si",Cr,Aluminum Oxide,{'Furan conversion': '57-63%'},,15 vol% propane,823.15,330.0,210 mg,PDH,"Propane, Furan",False,"{'Aromatic yield': 'Co-feeding propane', 'Toluene selectivity': 'Co-feeding propane'}",50.0,,,,,,,,,,,,,,10.1021/acscatal.8b04859,2019.0,63.0
329,Single Pt atom on nitrogen- and boron-doped graphene,Single Atom,Pt,Pt,Carbon-based,"{'Propane conversion': 'N/A', 'C-H bond dissociation energy': 'Exothermic'}",,,,,,PDH,Propane,False,"{'Conversion': 'Support doping (nitrogen)', 'Selectivity': 'Support doping (nitrogen)'}",,,,"N, B",,,,,,,,,,,10.1021/acs.jpcc.7b09736,2018.0,
330,15Zn0.1Pt/Al2O3,Alloy,"Zn, Pt, Al",Zn,Aluminum Oxide,{'propane conversion': '35%'},15%,C3H8/H2 = 1/1,873.15,50.0,500 mg,PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",97.0,Nanoparticulate Alloys,Impregnation Methods,Pt,4 h,1.0,,97.0,18.4 mmol/h/gcat,,,,,,10.1021/acscatal.5b02878,2016.0,35.0
331,1%Cr/4%Zr-Ga/HZSM-5,Metal Oxide,"Cr, Zr, Ga","Cr, Zr, Ga",Zeolites,{'Propane conversion': '65%'},,C3H8/CO2/N2 = 2.5/5/92.5,823.15,,WHSV 4 kgcat s molC3H8-1,ODH,"C3H8, CO2, N2",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",54.0,,,,10 h,0.1,,,,,,,,,10.1039/d2ra08235g,2023.0,65.0
332,Ordered mesoporous carbon,Metal,C,"C, O",,{'propane conversion': '69.3%'},25.8% (100 h),,873.0,,,PDH,propane,False,"{'Conversion': 'Catalyst composition', 'Selectivity': 'Catalyst structure', 'Stability': 'Catalyst structure'}",62.2,,,,100 h,4.17,,43.1,,,,,,,10.1039/c1cc12806j,2011.0,69.3
333,PdZn/Al2O3,Alloy,"Pd, Zn",Pd,Aluminum Oxide,{'H2 Conversion': '56.6%'},,H2:O2 = 1:2,275.15,,,PDH,"H2, O2",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",78.5,Nanoparticulate Alloys,Impregnation Methods,Zn,,,,,,,,,,,10.1016/j.apcata.2016.10.023,2017.0,
334,Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '50-67%'},0.087-0.44 (h-1),,873.15,130.0,100 mg,PDH,"C3H8, N2",False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",93.0,Nanoparticulate Alloys,Impregnation Methods,Sn,0.087-0.44 (h-1),0.44,,,,,,,,,10.1016/j.jiec.2010.10.011,2011.0,67.0
335,Cr2O3/ASA-Al2O3,Metal Oxide,"Cr, Al, Si",Cr,Silica Oxide,{'Propane conversion': '60%'},,"40% C3H8, 60% N2",853.15,28.4,,PDH,"C3H8, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",92.0,,,,,,,55.0,,,,,,,10.1016/j.apcata.2023.119167,2023.0,60.0
336,NiO-CeO2 nanorods,Metal Oxide,"Ce, Ni, O","Ni, Ce",,{'propane conversion': '69%'},No significant deactivation,C3H8:O2:HCl = 18:18:10 (kPa),773.0,48.0,0.10 g,ODH,"C3H8, O2, HCl",True,"{'Conversion': 'NiO modification', 'Selectivity': 'NiO modification', 'Stability': 'NiO modification'}",80.0,,,Ni,100 h,100.0,18.0,55.0,,,,,,,10.1021/acscatal.8b00650,2018.0,69.0
337,Pt1Zn1/SiO2,Alloy,"Pt, Zn",Pt,Silica Oxide,{'propane conversion': '24.5%'},,"18% C2H6, 82% He",823.15,,7.2 h-1,PDH,"C2H6, He",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",100.0,Intermetallic Compounds,Surface & Support Methods,Zn,24 hours,,,,,,,,,,10.1039/d2cp04173a,2023.0,24.5
