Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
PtSnNa/ZSM-5,Metal,"Pt, Sn, Na",Pt,ZSM-5 zeolite,{'Propane conversion': '30.4-31.2%'},Small deactivation rate,H2/C3H8 = 0.25 (molar ratio),590℃,,WHSV = 3.0 h-1,PDH,"Propane, Hydrogen",No,"{'Stability': 'Chlorine content', 'Conversion': 'Chlorine content', 'Selectivity': 'Chlorine content'}",96.3-96.5%,,,"Sn, Na",45 h,45 h-1,0.1 MPa,30.4%,,,,,,,10.1016/j.fuproc.2009.07.019,2009.0
0.5 wt% Co@Si-BEA,Metal,Co,Co,Si-BEA (dealuminated BEA zeolite),{'Propane conversion': '20-53%'},Slight drop from 53 to 46% over 20 h,C3H8/H2/N2 = 5/4/5 mL/min,590 ℃,,3.66 h-1 WHSV,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Dealumination of zeolite support', 'Conversion': 'Dealumination of zeolite support', 'Stability': 'Anchoring of isolated Co cations in zeolite micropores'}",93%,,,,22 h,22,,93%,3.66 h-1 WHSV,,,,,,10.1016/j.cej.2022.140726,2023.0
Ce0.95Cr0.05O2,Metal Oxide,"Ce, Cr, O",Cr,Ceria,{'Hydrogen conversion': '15%'},,4:1:1 C3H8:C3H6:H2,550℃,,250 mg,ODH,"C3H8, C3H6, H2",Yes,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",98%,,,Ce,250 cycles,0.004 h-1,,,,,,,,,10.1039/b904681j,2009.0
Magnesium vanadium oxide,Metal oxide,"Mg, V",,,{'Propane conversion': '28%'},0.5% per hour,,550℃,30 mL/min,0.2 g,ODH,"C3H8, O2",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",92%,,,,28 h,0.036 h-1,0.2 atm,25.8%,1.4 mL/min,,,,,,10.3390/nano12162767,2022.0
0.11% Pt-0.84%Sn/Al2O3-mel,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'propane conversion': '33.9%'},0.021 h-1,,600℃,,"20,000 mL h-1 g-1 cat",PDH,propane,No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Structural composition', 'Stability': 'Catalyst preparation method'}",99.1%,Nanoparticulate Alloys,Impregnation Methods,,Stable for 22 hours,0.045 h-1,,,,,,,,,10.1016/j.mcat.2019.110543,2019.0
5Si-5Co-Al2O3,Metal Oxide,"Si, Co, Al",Co,Aluminum Oxide,{'propane conversion': '24%'},,,590℃,,27 mL/min/gcat,PDH,"C3H8, H2, N2",No,{'Stability': 'Structural Composition'},90.3-91.8%,,,,22.9% conversion after 10 h,2.29 h-1,,,,,,,,,10.1016/j.jcat.2020.12.021,2021.0
In2O3–Ga2O3–Al2O3 mixed oxides,Metal Oxide,"In, Ga, Al","In, Ga",Alumina,{'Propane conversion': '17.1%'},,5 vol% C3H8 in N2,600°C,20 sccm,0.2 g,PDH,"C3H8, N2",No,"{'Activity': 'Structural Composition', 'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",85.5%,,,,6 h,1 h-1,,86%,4.6 mmol h-1 gcat-1,,,,,,10.1002/cctc.201500916,2016.0
Boron oxide supported on mesoporous silica (BOS),Metal oxide,"B, O","B, O",Mesoporous silica,{'Propane conversion': '14.8-31.5%'},,,450℃,,9.4 gC3H8 gcat^-1 h^-1,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Conversion': 'Active species composition', 'Selectivity': 'Active species composition', 'Stability': 'Support material'}",73.3-83.1%,,,,Stable for 30 h,1.25 h^-1,,,,,,,,,10.1021/acscatal.9b02284,2019.0
Pt/S-C,Metal,Pt,Pt,Sulfur-doped carbon,{'Propane conversion': '40%'},0.005 h-1,"10 vol% propane, 10 vol% H2, Ar balance",550℃,15 mL/min,"80 mg catalyst, WHSV 2 h-1",PDH,"Propane, H2, Ar",No,"{'Selectivity': 'Interfacial electronic effects between Pt and S-C', 'Stability': 'Strong metal-sulfur bonding', 'Conversion': 'Lowered energy barrier for propane dehydrogenation'}",98%,,,,2.1% deactivation after 600 min,0.005,,40%,2028 mmol gPt-1 h-1,,,,,,10.1038/s41467-021-23426-z,2021.0
0.1Pt-2Zn/Si-Beta,Alloy,"Pt, Zn",Pt,Zeolites,{'propane conversion': '65%'},0.02 h-1,"10% propane, 90% He",823 K,WHSV = 6 h-1,WHSV = 6 h-1,PDH,"Propane, He",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98%,Nanoparticulate Alloys,Impregnation Methods,Zn,0.02 h-1,0.02 h-1,0.1 bar,63%,4.11 molmolPt-1s-1,,,,,,10.1016/j.jechem.2020.08.058,2021.0
"Me-V-O (Me = Mg, Zn, Pb)",Metal Oxide,"Mg, Zn, Pb, V, O",,,{'Propane conversion': 'N/A'},,,,,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition', 'Stability': 'Crystal size'}",,,,,,,,,,,,,,,10.1006/jcat.2001.3251,2001.0
PtZn intermetallic compound nanoparticles,Alloy,"Pt, Zn","Pt, Zn",Mesoporous zeolite (MZ),{'Propane conversion': '40%'},0.006 gcoke gcat-1 h-1,Pure propane,580℃,,1300 h-1,PDH,Propane,No,"{'Stability': 'Preparation method', 'Activity': 'Structural composition', 'Selectivity': 'Structural composition'}",98%,Intermetallic compounds,Impregnation method,,20 days,480 h-1,,98%,,,,,,,10.1021/acscatal.1c01808,2021.0
Pt (1 wt.%)/SBA-15,Metal,Pt,Pt,SBA-15,{'Propane conversion': '48.7%'},,"Propane 5%, Hydrogen 4.5%, Nitrogen bal.",773 K,30 ml/min,,PDH,"Propane, Hydrogen, Nitrogen",No,"{'Selectivity': 'Catalyst deactivation', 'Conversion': 'Reactor design'}",70%,,,,,,,,,,,,,,10.1016/j.cattod.2010.04.044,2010.0
InO+/H-BEA and In+/H-BEA,Metal Oxide,In,"InO+, In+",Zeolite BEA,,,,453-573 K,,,PDH,Propane-d8,No,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",,,,,,,,,,,,,,,10.1021/acs.jpcc.2c06618,2022.0
Co/H-ZSM5,Metal,Co,Co,,{'propane conversion': 'N/A'},,,773 K,,,PDH,"Propane, Helium",No,"{'Conversion': 'Active species', 'Selectivity': 'Active species', 'Stability': 'Active species'}",,,,,,,,,,,,,,,10.1021/jp013245m,2002.0
Bulk vanadium oxide,Metal Oxide,"V, O",V,None,{'Propane conversion': '48%'},,"20% propane, 20% oxygen",550℃,,,ODH,"Propane, Oxygen",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Process conditions'}",7-12%,,,,,,,,,,,,,,10.1016/j.cattod.2006.05.076,2006.0
VOx/SBA-15,Metal Oxide,V,V,SBA-15,{'propane conversion': '32%'},,C3H8/O2/N2 = 1/2/17,550℃,,,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",81%,,,,,,,26%,2.8 mmol/g.h,,,,,,10.1021/acs.inorgchem.2c01741,2023.0
Cu-promoted zirconia (CuZrO-x),Metal Oxide,"Cu, Zr, O",Zr,,{'Propane conversion': '15-46.4%'},,,600°C,60 sccm,4.73 h-1,PDH,"C3H8, Ar",No,"{'Conversion': 'Promoter', 'Selectivity': 'Structural Composition'}",98-99%,,,Cu,,,,,,,,,,,10.1016/j.apcata.2019.117211,2019.0
Fe2O3-nZrO2,Metal Oxide,"Fe, Zr",Fe,ZrO2,"{'propane conversion': '40.8%', 'CO2 conversion': '30.8%'}","39.9 to 36.3% propane conversion over 340 min, 28.2 to 25.7% CO2 conversion over 340 min",C3H8:CO2:Ar = 1:1:1.5,550℃,"8.9 mL min-1 C3H8, 8.9 mL min-1 CO2, 13.1 mL min-1 Ar",12.5 g h mol-1,ODH,"C3H8, CO2, Ar",Yes,"{'Conversion': 'Combination with ZrO2', 'Selectivity': 'Combination with ZrO2', 'Stability': 'Combination with ZrO2'}",85.1%,,,,340 min,0.529 h-1,,34.7%,,,,,,,10.1039/d3cy00915g,2023.0
,Metal Oxide,"Cr, V, Ru, Pd, Ni, Fe, Co, Ga, Zn, Zr, Ce, Al","Cr, V","Silica Oxide, Aluminum Oxide, Zeolites",{'Propane conversion': '2-70%'},,C3H8:CO2:He/N2/Ar,500-800 ℃,10-60 mL/min,"0.05-0.3 g, 200-18000 h-1",ODH,"C3H8, CO2, He, N2, Ar",Yes,"{'Conversion': 'Catalyst composition, Process conditions', 'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition, Preparation method'}",10-99%,,,"Ru, Pd",2-140 h,2-140 h-1,,2-98%,,,,,,,10.1016/j.apcata.2021.118273,2021.0
Cr2O3,Metal Oxide,"Cr, O",Cr,,{'propane conversion': 'N/A'},"2.88 eV (for CH3CC* formation), 2.82 eV (for C* formation)",,700-1000°C,,,PDH,Propane,No,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions', 'Stability': 'Process Conditions'}",,,,,,,,,,,,,,,10.1016/j.jcat.2020.03.037,2020.0
13 wt% Cr supported on Al2O3,Metal Oxide,Cr,Cr,Al2O3,{'Propane conversion': '30%'},,C3H8:He = 1:4,823 K,"10 mL/min C3H8, 40 mL/min He",,PDH,"C3H8, He",No,"{'Selectivity': 'Coke formation', 'Conversion': 'Coke formation'}",80%,,,,,,20 kPa,,,,,,,,10.1016/j.ces.2004.07.103,2004.0
Cr/H-ZSM5,Metal,Cr,Cr,H-ZSM5,{'propane conversion': '27%'},0.04% h^-1,C3H8/O2/He = 1/4/15,500℃,100 mL/min,1 g,ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",92%,,,,120 h,0.00833 h^-1,,25%,,,,,,,10.1039/c9fd00122k,2021.0
Pt/Sn-ZSM-5,Alloy,"Pt, Sn",Pt,ZSM-5 Zeolite,{'Propane Conversion': '70%'},,"1.5 mL/min C3H8, 5 mL/min N2",600℃,6.5 mL/min,5.2 h-1,PDH,"C3H8, N2",No,"{'Stability': 'Preparation Method', 'Conversion': 'Structural Composition'}",99%,Nanoparticulate Alloys,In Situ Synthesis,Sn,24 h,1 h-1,,,,,,,,,10.1002/anie.202007044,2020.0
Pd3Sn,Alloy,"Pd, Sn",Pd,,{'Single-pass': '100%'},,C2H2:H2 = 1:100,373 K,,,PDH,"C2H2, H2",No,{'Conversion': 'High-coverage model'},97%,Intermetallic Compounds,,,,,,,,,,,,,10.1021/acs.jpcc.7b11394,2018.0
Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Al2O3,{'Propane conversion': '18.6%'},,,550°C,30 mL/min,11.8 h-1,PDH,"N2, H2, C3H8",No,"{'Conversion': 'Reduction temperature', 'Selectivity': 'Reduction temperature'}",99%,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.cattod.2022.11.018,2023.0
CrZrOx/SiO2,Metal Oxide,"Cr, Zr",Zr,Silica Oxide,{'propane conversion': '10-24%'},,C3H8:N2 = 2:3,550℃,40 mL min-1,3.45-8.08 h-1,PDH,"C3H8, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,,,,10 cycles,10 h-1,,,0.47-1.2 mmol g-1 min-1,,,,,,10.1016/j.apcata.2019.117350,2020.0
Vanadium oxide catalyst,Metal Oxide,"V, O",V,Alumina,{'Propane conversion': 'Not specified'},Deactivation rate depends on temperature and propane/propylene concentration,Propane:Oxygen ratio varied,350-650℃,Not specified,100-400 kg/s/m3,ODH and PDH,"Propane, Oxygen, Nitrogen",Yes,{'Stability': 'Periodic regeneration'},Not specified,,,,Not specified,Not applicable,Not specified,Not specified,Not specified,,,,,,10.3390/catal10121374,2020.0
2Zn5.6ZrTi,Metal Oxide,"Zn, Zr, Ti",Zn,Rutile TiO2,{'Propane conversion': '23%'},,C3H8:H2:N2 = 2:1:2,550°C,,1.57 h-1,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95%,,,Zr,3 h,3 h-1,,95%,0.4 mmol g-1 min-1,,,,,,10.1039/d0cy01416h,2020.0
Pt/Sn-CeO2,Metal Oxide,"Pt, Sn, Ce, O",Pt,Ceria (CeO2),{'Propane conversion': '15.1%'},,Propane:CO2 - 2.4:4.8 mL/min,550°C,17.2 mL/min,,ODH,"Propane, CO2, N2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",63.9%,,,Sn,,,,,,,,,,,10.1002/cctc.202200982,2022.0
Nonframework gallium species in zeolite,Metal,Ga,Ga,Zeolite,,,,,,,PDH,Propane,No,"{'Mechanism': 'Structural composition', 'Conversion': 'Structural composition', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/jp055104g,2006.0
MgO-promoted ZnO/silicalite-1,Metal Oxide,"Zn, Mg",Zn,silicalite-1,{'propane conversion': '26.1%'},0.0076 h-1,C3H8/N2 = 2:3,550℃,10 mL/min,2.36 h-1,PDH,"C3H8, N2",No,"{'Stability': 'MgO promoter', 'Selectivity': 'MgO promoter'}",92-95%,,,Mg,20 PDH/regeneration cycles,38 h-1,,24%,,,,,,,10.1021/acscatal.1c05778,2022.0
Sn1Pt single-atom alloy,Alloy,"Pt, Sn","Pt, Sn",Alumina (Al2O3),{'Propane conversion': '43%'},"0.11 h-1 (0-3 h), 0.013 h-1 (3-40 h), 0.0026 h-1 (10-40 h)",C3H8:H2:He = 14:14:72 (vol%),600℃,30 mL/min,,PDH,"C3H8, H2, He",No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",90-94%,Single-atom Alloys,Co-impregnation Method,,0.0026 h-1 (10-40 h),0.0026 h-1,,,47.6 molC3H6 gPt-1 h-1,,,,,,10.1016/S1872-2067(23)64402-X,2023.0
Silica supported tungsten alkylidyne complex,Metal,W,W,Silica oxide,{'Propane conversion': 'N/A'},,,150℃,,,PDH,Propane,No,{'Conversion': 'Catalyst preparation method'},,,,,,,,,,,,,,,10.1039/c5cc05276a,2015.0
Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K, Al, O","Pt, Sn",Alumina,{'Propane conversion': '67%'},,C3H8:He = 1:4,500℃,,,ODH,"C3H8, He, O2",Yes,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design', 'Yield': 'Reactor design'}",98%,Nanoparticulate Alloys,Impregnation Methods,K,,,,95%,,,,,,,10.1016/j.cej.2011.06.048,2011.0
CrOx/Fe-CeO2,Metal Oxide,"Cr, Fe, Ce, O",Cr,Ceria,{'Propane Conversion': '10%'},,CO2/C3H8,510-590℃,100 mL/min,100 mg,ODH,"Propane, Carbon Dioxide",Yes,"{'Selectivity': 'Active Species', 'Conversion': 'Active Species'}",83-90%,,,Fe,,,0.5-5%,8.7-9%,,,,,,,10.1039/d2cy01563c,2023.0
10%Zn/250HZSM-5,Metal Oxide,Zn,Zn,HZSM-5 zeolite,{'Propane conversion': '72.94%'},41.72% (10 h),5 vol% propane in N2,600℃,20 mL/min,200 mg,PDH,"Propane, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",92.50%,,,,10 h,1.0 h-1,,52.09%,,,,,,,10.1016/j.mcat.2019.110508,2019.0
PtSn/γ-Al2O3 promoted by In,Alloy,"Pt, Sn, In, Al, O",Pt,Alumina,{'propane conversion': '58.41%'},8.9% (53 h),H2:C3H8:Ar = 7:8:35 (molar ratio),600-620 °C,,1500 h-1,PDH,"H2, C3H8, Ar",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",92.8-96%,Nanoparticulate Alloys,Impregnation Methods,"Sn, In",53 h,53 h-1,,41%,,,,,,,10.1016/j.cej.2014.02.084,2014.0
5Ga2O3/SBA-15,Metal Oxide,"Ga, O",Ga,SBA-15,"{'Propane conversion': '28.5% (initial), 22.1% (final)'}",11% (30h),,620 ℃,WHSV = 0.6 h-1,0.2 g,PDH,"C3H8, Ar",No,{'Stability': 'Support Material'},"92.5% (initial), 91.6% (final)",,,,30 h,1.25 h-1,,,,,,,,,10.1039/c6ra27204e,2017.0
Alumina-supported iron phosphide,Metal,"Fe, P",Fe,Al2O3,{'Propane conversion': '14%'},,5% C3H8 in N2,600℃,10 sccm,,PDH,"C3H8, N2",No,"{'Conversion': 'Increasing Fe:P ratio', 'Selectivity': 'Increasing Fe:P ratio', 'Stability': 'Addition of phosphate'}",82.4%,,,P,,19 h-1,,,,,,,,,10.1021/acscatal.6b01286,2016.0
Platinum supported on silicon nitride,Metal,Pt,,Silicon nitride,{'Propane conversion': '10-50%'},,Propane:Hydrogen:Nitrogen,500-600℃,1-240 ml/min,,PDH,"Propane, Hydrogen, Nitrogen",No,"{'Conversion': 'Support composition', 'Selectivity': 'Support composition', 'Stability': 'Support material'}",70-90%,,,,24 h,1 h-1,,,,,,,,,10.1016/S0926-860X(01)00871-7,2002.0
"Cr/SBA-15, Cr/Al2O3",Metal Oxide,Cr,Cr,"SBA-15, Al2O3",{'Propane conversion': '5-15%'},,,823-853 K,,11.78 h-1,PDH,"Propane, Helium",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",80-90%,,,,120 min,2 h-1,,,,,,,,,10.1016/j.jcat.2008.11.014,2009.0
Pt-Ge/SiO2,Alloy,"Pt, Ge",Pt,Silica Oxide,{'propane conversion': '24.9-32.5%'},0.32-0.5 mg/(gcat·min),,798 K,80 ml/min,,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",97.9%,Nanoparticulate Alloys,Impregnation Methods,Ge,0.32-0.5 mg/(gcat·min),19.2-30 h-1,5.8 kPa,,,,,,,,10.1016/j.apcata.2022.118751,2022.0
Ca7Bi5Mo12Ox and Mg7Bi5Mo12Ox,Metal Oxide,"Ca, Mg, Bi, Mo","Bi, Mo",,{'Acrolein yield': '3.2% for Ca7Bi5Mo12Ox\n\t\t\t\t\t2.7% for Mg7Bi5Mo12Ox'},,,,,,ODH,"Propane, Oxygen",Yes,{'Selectivity': 'Catalyst composition'},"
					34% for Ca7Bi5Mo12Ox
					20% for Mg7Bi5Mo12Ox
				",,,"Ca, Mg",,,,"
					3.2% for Ca7Bi5Mo12Ox
					2.7% for Mg7Bi5Mo12Ox
				",,,,,,,10.1016/S0920-5861(96)00113-7,1997.0
MnWO4 nanorods,Metal Oxide,"Mn, W, O",Mn,None,{'Propane conversion': '10-35%'},,C3H8:O2:N2 = 10:5:85,400 ℃,,1.8-0.9 g s mL-1,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",80-90%,,,,108 h,108 h-1,,,,,,,,,10.1002/anie.201510201,2016.0
V-Zr-O,Metal Oxide,"V, Zr, O",V,Zirconia,{'Propane conversion': '2.1-5.3%'},,"20% Propane, 10% Oxygen, Balance Argon",340℃,18.1 mL/min,,ODH,"Propane, Oxygen, Argon",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",58.5-68.3%,,,,,,,1.43-3.10%,,,,,,,10.1016/j.cattod.2021.06.012,2022.0
Pt-Sn/SiO2,Alloy,"Pt, Sn",Pt,Silica Oxide,{'propane conversion': '41%'},0.003,C3H8,853 K,,4.7 h-1,PDH,C3H8,No,"{'Stability': 'Structural Composition', 'Selectivity': 'Promoter'}",99%,Nanoparticulate Alloys,Impregnation Methods,Sn,30 hours,0.003,,,,,,,,,10.1021/acscatal.3c00103,2023.0
Pt/ND@G,Metal,Pt,Pt,Nanodiamond-graphene hybrid,{'Propane conversion': '34%'},,"5% propane, 95% N2",600℃,60 mL/min,0.2 g,PDH,"Propane, Nitrogen",No,"{'Stability': 'Structural composition', 'Activity': 'Structural composition', 'Selectivity': 'Structural composition'}",88%,,,,100 h,100 h-1,,88%,1333 mmol g-1 h-1,,,,,,10.1021/acscatal.6b03452,2017.0
KOH-treated polyaniline derived carbon (PAC-K2),Carbon,C,O,,{'Initial propane conversion': '31%'},0.1 h-1,C3H8:Ar:He = 10:4.5:85.5,873 K,100 cm3 STP min-1 g-1,6000 cm3 h-1 g-1,PDH,"Propane, Argon, Helium",No,{'Stability': 'Structural composition'},100%,,,,0.1 h-1,0.1 h-1,,31%,,,,,,,10.1002/cctc.202100208,2021.0
V-Sb-O/SiO2,Metal Oxide,"V, Sb, O",V,Silica Oxide,{'propane conversion': '40.1%'},,C3H8:O2:N2 = 1:1:8,600°C,,0.1 g,ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",65.6%,,,,,,,26.3%,,,,,,,10.1016/j.catcom.2013.11.014,2014.0
NiOx/ZrO2,Metal Oxide,"Ni, Zr",Ni,Zirconia Oxide,{'propane conversion': '10%'},0.33 h-1,"40% C3H8, 60% N2, 1000 ppm O2",550 ℃,20 mL/min,0.1 g,PDH,"C3H8, N2, O2",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,,,,20 min,1.0 h-1,,95%,0.15 mmol/g/min,,,,,,10.1016/j.apcata.2023.119246,2023.0
Boron carbide,Others,"B, C",B,,{'N/A': 'N/A'},,,,,,ODH,"Propane, Oxygen",Yes,{'Reactivity': 'B content and surface oxidation'},,,,,,,,,,,,,,,10.1021/acs.jpcc.2c08586,2023.0
Cr-MCM-41,Metal Oxide,Cr,Cr,Silica Oxide,{'propane conversion': '30%'},17.0% to 3.0% in 5h,N2/CO2/C3H8 = 10/34/6,550℃,0.134 mol(STP) h-1,400 mg,ODH,"N2, CO2, C3H8",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90%,,,,5 h,0.2 h-1,,,,,,,,,10.1016/j.jcat.2004.03.014,2004.0
GaPt/SiO2 SCALMS,Alloy,"Ga, Pt",Pt,Silica Oxide,{'Propane conversion': '13-22%'},"41-45% within 200 min, 49-59% after 900 min",12% C3H8/He,450-550 °C,25 mL/min,4500 mL/gcat-h,PDH,"Propane (C3H8), Helium (He)",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",97-100%,Nanoparticulate Alloys,Impregnation Methods,,900 min,0.0011 h-1,,,,,,,,,10.1039/d0fd00010h,2021.0
SiO2-supported VOx species,Metal Oxide,"V, O","V, O",Silica,{'Propane conversion': '45%'},10% over 20 h,C3H8/O2 > 10,823-843 K,,0.3-18 g s ml-1,ODH,"C3H8, O2",Yes,"{'Selectivity': 'Process Conditions', 'Stability': 'Support Material'}",80%,,,,20 h,0.05 h-1,,40%,,,,,,,10.1016/j.cattod.2012.01.034,2012.0
Molybdenum coated ceramic and carbon membranes,Metal,Mo,Mo,Ceramic and Carbon,{'propane conversion': '28%'},,"80% propane, 20% hydrogen","
					",,,PDH,"propane, hydrogen",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}","
					",,,,,,,,,,,,,,10.1016/j.memsci.2004.11.037,2005.0
Oxidized multi-walled carbon nanotubes (MWCNTs),Others,C,"C, O",,{'Propane conversion': '11.0%'},,5 vol% propane balanced with nitrogen,600°C,6000 mL/h/gcat,6000 mL h-1 gcat-1,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Surface oxygen functional groups', 'Stability': 'Removal of carboxylic acid groups'}",86.8%,,,,6 h,1 h-1,,,,,,,,,10.1016/j.apcata.2018.04.017,2018.0
Zn0.3Cr oxide,Metal Oxide,"Zn, Cr",Cr,,{'Propane conversion': '31.3%'},,5% C3H8 / 95% Ar,480°C,25 ml/min,"0.3 g catalyst, 5000 ml/(h·g)",PDH,"Propane, Argon",No,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",94%,,,Zn,300 min,0.005 h-1,,,,,,,,,10.1039/c9cy01921a,2020.0
Nanosized anatase TiO2,Metal Oxide,"Ti, O",Ti,,{'Propane conversion': '67%'},,C3H8:Ar = 1:39,600℃,,0.25-3 g,PDH,"C3H8, Ar",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",94%,,,,,,,45%,,,,,,,10.1021/acscatal.0c02825,2020.0
Fe-ZSM-5,Metal Oxide,Fe,Fe,Zeolite ZSM-5,{'Propane conversion': '46%'},,N2O/C3H8 â‰ˆ 1,748 K,,"15,000 mL h-1 g-1",ODH,"Propane, Nitrous Oxide",Yes,"{'Selectivity': 'Catalyst preparation method', 'Conversion': 'Catalyst preparation method'}",65%,,,,960 min,0.001 h-1,,30%,,,,,,,10.1016/j.apcata.2013.08.051,2013.0
V2O5 and V2O4S,Metal Oxide,"V, O","V, O",,{'Overall conversion': '~20%'},,propane/oxygen = 1/2,High temperatures (not specified),,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Structural composition', 'Stability': 'Sulfur modification'}",40-50%,,,,,,,,,,,,,,10.1021/jp4024734,2013.0
Vanadium oxide supported on amorphous aluminium phosphate,Metal Oxide,"V, Al, P",V,Amorphous aluminium phosphate,{},,,,,,ODH,"Propane, Oxygen",Yes,"{'Conversion': 'Composition, Vanadium loading'}",,,,,,,,,,,,,,,10.1016/0926-860X(94)80219-X,1994.0
Cox-Siβ,Metal Oxide,Co,Co,Dealuminated Siβ zeolite,{'Propane conversion': '2.8-3.7%'},-22%,"8.2% C3H8, 1.9% O2, He balance",400°C,74.1 mL/min,,ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Incorporation of Co species into dealuminated Siβ zeolite framework', 'Selectivity': 'Incorporation of Co species into dealuminated Siβ zeolite framework'}",36-47%,,,,,,,,,,,,,,10.1016/j.apcata.2023.119119,2023.0
Pt@MCM-22,Single Atom,"Pt, Si",Pt,Zeolite (MCM-22),{'propane conversion': '10%'},,,550°C,,,PDH,"propane, N2",No,{'Stability': 'Preparation Method'},,,,,,,,,,,,,,,10.1038/nmat4757,2017.0
Single-Pd-doped Cu55 cluster,Single Atom,"Cu, Pd",Pd,Cu55 cluster,{},,,,,,PDH,Propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1021/jp508625b,2015.0
PtSn/Al2O3,Alloy,"Pt, Sn",Pt,Alumina,{'Propane conversion': '40%'},,,590℃,,,PDH,"Propane, Steam",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90-92%,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.jcat.2010.09.018,2010.0
Pt-Sn/ZnAl2O4,Alloy,"Pt, Sn","Pt, Sn",ZnAl2O4,{'Propane conversion': '59.1%'},0.46-0.54 (Deactivation parameter),C3H8:N2 = 1:2 to 1:3.3,600℃,100-130 ml/min,,PDH,"C3H8, N2",No,"{'Stability': 'Alloy composition', 'Selectivity': 'Addition of Sn', 'Conversion': 'ZnAl2O4 support'}",89-91%,Nanoparticulate Alloys,Impregnation Method,,,,,,,,,,,,10.1016/j.apcata.2011.03.057,2011.0
